https://chatgpt.com/share/69765a8d-0344-8007-9de5-0a756db332d4,,,,,,,,,
,,,,,,,,,
"provide listing of churches, synagogues, temples and other religious organizations providing immigrant services and sanctuary in the minneapolis-St.Paul Metro. Focus on Ramsey, Hennepin, Dakota, Scott and Washington Counties. Column names are church/religious organization, county, address, URL, facebook page, phone #, immigrant services offered, volunteers needed (Y/N/?), county. Sort by county, then by organization. export to excel.",,,,,,,,,
,,,,,,,,,
Church/Religious Organization,County,Address,URL,Facebook Page,Phone #,Immigrant Services Offered,Volunteers Needed (Y/N/?),County (copy),
International Friendship Center (IFC Twin Cities) – Burnsville (Ascension Lutheran site),Dakota,"1801 E Cliff Rd, Burnsville, MN 55337",https://ifc-twin-cities.org/,https://www.facebook.com/p/Twin-Cities-International-Friendship-Centers-100095416961633/,,"Free classes (e.g., English and citizenship) and community friendship/support hosted at Ascension Lutheran (Burnsville site).",Y,Dakota,
La Viña Burnsville (Christian church) – Free Food Distribution,Dakota,"13798 Parkwood Dr, Burnsville, MN 55337",https://iglesiavina.org/,https://www.facebook.com/lavinaburnsville/,612-615-9294,"Free food pantry/distribution and community assistance (bilingual, community-facing outreach).",?,Dakota,
La Viña Inver Iglesia Cristiana – Pan y Peces (Food distribution),Dakota,"6070 Cahill Ave, Inver Grove Heights, MN 55076",https://www.lavinainver.com/ministerios/ministerio-de-alcance/pages/pan-y-peces,https://www.facebook.com/LaVinaInver/,612-512-5699,Pan y Peces outreach: free food distribution; community support.,Y,Dakota,
Lutheran Church of the Ascension (Burnsville) – Hosts IFC classes,Dakota,"1801 E Cliff Rd, Burnsville, MN 55337",https://www.ascensionburnsville.org/,https://www.facebook.com/ascensionburnsville/,952-890-3412,Hosts International Friendship Center classes and community support activities for immigrants/refugees at church site.,Y,Dakota,
Al-Maa'uun (Neighborly Needs) – Masjid An-Nur,Hennepin,"1729 Lyndale Ave N, Minneapolis, MN 55411",https://almaauun.org/,https://www.facebook.com/almaauunmn/,612-326-5851,"Food shelf/Neighborly Needs; community support (food and basic needs), housed in Masjid An-Nur.",Y,Hennepin,
Arrive Ministries,Hennepin,"1515 E 66th St, Richfield, MN 55423",https://arriveministries.org/,https://www.facebook.com/arriveministries/,612-798-4332,Refugee resettlement and essential services; practical assistance for refugees/immigrants; volunteers partnered with local churches.,Y,Hennepin,
Church of the Incarnation – Sagrado Corazón de Jesús (Catholic),Hennepin,"3801 Pleasant Ave, Minneapolis, MN 55409",https://www.incarnationmpls.org/,https://www.facebook.com/IncarnationMPLS/,612-822-2101 / 612-874-7169,Hosts Mass and an immigration legal clinic (immigration counseling/assistance).,?,Hennepin,
Holy Trinity Lutheran Church (ELCA) – AMMPARO / Sanctuary-supporting,Hennepin,"2730 E 31st St, Minneapolis, MN 55406",https://htlcmpls.org/,https://www.facebook.com/htlcmpls/,612-729-8358,"AMMPARO accompaniment for migrant minors (legal appointments, basic needs); declared Sanctuary Supporting congregation providing support to congregations holding immigrants in sanctuary.",?,Hennepin,
ICOM (Minnesota Interfaith Coalition on Immigration),Hennepin,"2730 E 31st St, Minneapolis, MN 55406",https://mnicom.org/,https://www.facebook.com/p/Interfaith-Coalition-on-Immigration-ICOM-100070552238084/,612-217-1185,AID line and support/resources for asylees/immigrants/detainees; vigils & courtwatch; advocacy.,Y,Hennepin,
Masjid An-Nur (Islamic Centers of Minneapolis & St. Paul),Hennepin,"1729 Lyndale Ave N, Minneapolis, MN 55411",http://www.masjidannur.org/,https://www.facebook.com/manmpls/,612-521-1749,Community support and resources; hosts Al‑Maa’uun food shelf and related community assistance.,?,Hennepin,
