,,,,,,,,,,,,
,,,,,,,,,,,,
"Provide a listing of groups serving immigrants needs for food and rent assistance in the minneapolis-St. Paul metro area with focus on these counties: Ramsey, Hennepin, Dakota, Washington and Scott. ",,,,,,,,,,,,
"Provide these columns: organization name, website, phone #, address, populations served and services offered, county name, # of employees, year founded, whether volunteers are needed, any current focus on ICE resistance.",,,,,,,,,,,,
,,,,,,,,,,,,
"Below is a starter directory of Minneapolis–St. Paul metro organizations that commonly serve immigrants/refugees (or explicitly include them) with food and/or rent/housing stability help, organized to emphasize Ramsey, Hennepin, Dakota, Washington, and Scott Counties.  For “# employees,” I used publicly listed figures (often from IRS/990 aggregators or org profiles), so treat as approximate.",,,,,,,,,,,,
,,,,,,,,,,,,
"What I mean by “ICE resistance” here: public-facing Know-Your-Rights education, legal defense/representation, accompaniment/rapid-response organizing, or policy/advocacy—not anything about evasion.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
organization name,website,phone #,address,populations served and services offered,county name,# of employees,year founded,whether volunteers are needed,any current focus on ICE resistance,sources,,
360 Communities – Burnsville Resource Center & Food Shelf,https://360communities.org/,952-985-5300,"501 E Highway 13, Suite 112, Burnsville, MN 55337",South metro residents; food shelf and stability services; programs adjusted over time (see site for current financial assistance availability).,Dakota,,,Yes,No explicit.,https://360communities.org/,,
360 Communities – Messiah Community Food Shelf (Lakeville),https://360communities.org/,952-985-5300,"Messiah Lutheran Church, 16725 Highview Ave, Lakeville, MN 55044",Food shelf serving Lakeville/south metro; appointments and emergency food options (see site for details).,Dakota,,,Yes,No explicit.,https://360communities.org/resources/food-shelves/,,
CAP Agency – Dakota County Office (Rosemount),https://capagency.org/,651-322-3500,"2496 145th St W, Rosemount, MN 55068","Dakota County residents; emergency services and housing supports, including eviction prevention/resources (availability can vary).",Dakota,,,Yes,No explicit.,https://capagency.org/contact-us/ ; https://capagency.org/crisis-intervention/emergency-services/,,
Dakota County Emergency Assistance (Public Assistance),https://www.co.dakota.mn.us/,651-554-5611,"Northern Service Center: 1 Mendota Rd W, Suite 100, West St. Paul, MN 55118 (plus other locations)",Dakota County residents; emergency assistance for housing/utility crises and related public benefits support.,Dakota,,,N/A (government program),No (government benefits program).,https://www.co.dakota.mn.us/HealthFamily/PublicAssistance/Emergency/Pages/default.aspx,,
Hastings Family Service,https://hastingsfamilyservice.org/,651-437-7134,"301 2nd St E, Hastings, MN 55033",Hastings area; Market food shelf and community resource assistance (including rent assistance for eligible households).,Dakota,,,Yes,No explicit.,https://hastingsfamilyservice.org/who-we-are/contact.html ; https://hastingsfamilyservice.org/programs-services/community-resource-assistance.html,,
Isuroon – Burnsville Office (Halal Food Assistance),https://isuroon.org/,952-595-5731,"1103 Burnsville Pkwy, Suite 203, Burnsville, MN 55337",Somali and East African community members; halal food shelf and culturally specific food assistance; volunteer opportunities available.,Dakota,,,Yes,No explicit; immigrant-serving org that may refer to legal resources.,https://isuroon.org/halal-food-assistance/ ; https://isuroon.org/isuroon-volunteer/,,
"Neighbors, Inc.",https://www.neighborsmn.org/,651-455-5000,"222 Grand Ave W, South St. Paul, MN 55075",Northern Dakota County residents; emergency assistance (incl. housing-related) and food shelf support.,Dakota,,,Yes,No explicit.,https://www.neighborsmn.org/services/emergency-services-nbr/,,
The Open Door Pantry,https://theopendoorpantry.org/,651-686-0787,"3000 Ames Crossing Rd, Suite 100, Eagan, MN 55121",Dakota County residents needing food; pantry plus mobile sites; multilingual access varies by site.,Dakota,,,Yes,No explicit.,https://theopendoorpantry.org/ ; https://theopendoorpantry.org/hours-location/,,
CAPI USA (Communities Advancing Prosperity for Immigrants),https://www.capiusa.org/,612-721-0122,"5930 Brooklyn Blvd, Brooklyn Center, MN 55429","Immigrants, refugees, and communities of color; services include food shelf access plus economic/human services supports; multilingual assistance.",Hennepin,,,Yes,Indirect (immigrant support; not explicitly ICE-focused on contact page).,https://www.capiusa.org/contact ; https://www.capiusa.org/,,
CLUES – Minneapolis (CareerForce Center),https://clues.org/,612-746-3500,"777 E Lake St, Minneapolis, MN 55407",Latino/a and other immigrant communities; culturally responsive services and referrals; employment supports and connections to basic needs resources.,Hennepin,,1981,Yes,Indirect (not explicitly ICE-focused on locations page).,https://clues.org/about/locations/,,
